image_path,description,relevance_detail,hallucination,fluency
static/ben_327475.jpg,"originating from Fall, this satellite image representing 'broad-leaved forest' is connected to utm zone 34N and dated 9 o'clock, September 14, 2017. black green marble stone with dark green glistening water drop",3,3,3
static/fmow_crop_field_1583_4_rgb.jpg,"from space, during Xiann?, China's Summer, the lens captured crop_field situated at the bottom-center and center blocks. the clarity is marked by a ground sample distance of 2.06m. geospatial annotations include utm zone 50S and a timestamp of 2 o'clock, August 9, 2016. cloud conditions were at 19%, and the scan was directed reverse. defining angles for this capture are target azimuth: 52.96? and off-nadir: 19.34?. photo of the rural village taken using google earth satellite",5,5,5
static/fmow_ground_transportation_station_1114_2_rgb.jpg,"during Spring in Berazategui, Argentina, the satellite spotted ground_transportation_station located towards the center and center-left blocks. every pixel in this image corresponds to 1.95m on the ground. this capture, time-stamped at 14 o'clock, April 22, 2017, is referenced in utm zone 21H. additionally, the scan took place in a forward direction with a cloud cover rate of 7%. angles defining this shot include a target azimuth of 125.48? and off-nadir angle of 11.84?. a satellite photo showing a train and some houses",5,5,5
static/ben_265268.jpg,"captured in the Summer, this satellite image portrays the 'non-irrigated arable land, complex cultivation patterns, land principally occupied by agriculture, with significant areas of natural vegetation' class from utm zone 35N and is dated 9 o'clock, August 8, 2017. a google satellite image of a farm",5,4,5
static/ben_100706.jpg,"depicting the 'non-irrigated arable land, broad-leaved forest' class, this satellite image from the Fall season is associated with utm zone 34N and stamped 9 o'clock, October 2, 2017. a close up of farmland",5,4,5
static/ben_220696.jpg,"from the Spring season, this satellite imagery classified as 'discontinuous urban fabric, non-irrigated arable land, pastures, broad-leaved forest' hails from utm zone 31N and is timestamped 10 o'clock, May 8, 2018. satellite view of an area of farmland",5,5,5
static/millionaid_P0354193.jpg,a google earth view of the tennis courts at north houston elementary,5,5,5
static/ben_329348.jpg,"originating from utm zone 34N in the Fall season, this satellite image showcasing 'non-irrigated arable land, land principally occupied by agriculture, with significant areas of natural vegetation, broad-leaved forest, transitional woodland/shrub' is timestamped 9 o'clock, September 14, 2017. satellite view of the road",4,4,5
static/fmow_educational_institution_690_6_msrgb.jpg,"from an orbital perspective, the Winter of Palo Alto, United States presented educational_institution distinctly at the center and top-center blocks. this image boasts a ground sample distance of 2.76m. for geospatial referencing, it's tied to utm zone 10S and was captured at 19 o'clock, January 23, 2014. clouds occupied 0% of the sky, with the equipment scanning in the reverse direction. pivotal angles for this capture were a target azimuth of 182.39? and an off-nadir angle of 22.23?. a satellite photo of a street lined with houses",5,5,5
static/millionaid_P0662385.jpg,an aerial view of a large circular structure on a field,5,5,5
static/fmow_ground_transportation_station_1372_3_msrgb.jpg,"looking at Nanawua, Argentina from above during Winter, our satellite image presents ground_transportation_station at the center and top-left blocks. boasting a ground sample distance of 2.01m, it's geolocated within utm zone 21J. the exact moment of capture was 14 o'clock, February 13, 2017, under a cloud cover of 6%. scan operations were directed reverse. key angular measures are target azimuth: 96.02? and off-nadir: 16.32?. a satellite image shows the village of chon",5,5,5
static/millionaid_P0765656.jpg,a aerial photo taken over the yard of an elementary school,5,5,5
static/millionaid_P0045335.jpg,aerial view of residential building,5,5,5
static/ben_297805.jpg,"this satellite image from Summer, classified as 'non-irrigated arable land, land principally occupied by agriculture, with significant areas of natural vegetation, water courses', belongs to utm zone 34N and bears the date 9 o'clock, August 25, 2017. aerial image of farm fields",5,5,5
static/ben_510710.jpg,"depicting the 'non-irrigated arable land' class, this satellite image from the Spring season is associated with utm zone 33N and stamped 9 o'clock, April 28, 2018. an aerial view of green, brown and red fields",5,5,5
static/ben_272321.jpg,"from the Summer season, this satellite image displaying 'discontinuous urban fabric, non-irrigated arable land, complex cultivation patterns, coniferous forest' is affiliated with utm zone 35N and stamped 9 o'clock, August 8, 2017. a satellite view of a farm and country land",5,5,5
static/millionaid_P0242630.jpg,aerial photo showing water plant at an olive orchard,5,5,5
static/millionaid_P0617811.jpg,view of an olive grove from a satellite,5,5,5
static/fmow_golf_course_80_0_rgb.jpg,"looking at Leixlip, Ireland from above during Summer, our satellite image presents golf_course at the center and center-left blocks. boasting a ground sample distance of 2.05m, it's geolocated within utm zone 29U. the exact moment of capture was 12 o'clock, July 9, 2013, under a cloud cover of 0%. scan operations were directed forward. key angular measures are target azimuth: 74.68? and off-nadir: 18.71?. a golf course, seen in satellite view",5,5,5
static/millionaid_P0869178.jpg,a ball field is shown from the air,5,5,5
static/fmow_educational_institution_632_7_msrgb.jpg,"a satellite overview of Tokyo, Japan in its Spring portrayed educational_institution located at the center and top-center blocks. ensuring detailed insights, the ground sample distance measures 2.83m. this frame is geotagged to utm zone 54S and timestamped at 1 o'clock, April 15, 2014. cloudiness was observed at 0%, with the scanner's direction being reverse. angles that played a pivotal role are target azimuth: 248.60? and off-nadir: 22.70?. a satellite image shows an aerial view of the town and its surrounding area",5,5,5
static/fmow_educational_institution_1042_9_rgb.jpg,"orbiting over Tokyo, Japan, the Winter's view was encapsulated in a frame, revealing educational_institution in the center and center-right blocks. with a precision indicated by a ground sample distance of 1.77m, the image is clear. it's tagged to utm zone 54S, with a timestamp of 1 o'clock, February 12, 2015. environmental metrics at the time of the shot show a cloud cover of 0% and a scanning direction of reverse. major angles influencing the shot were target azimuth at 252.67? and off-nadir at 17.04?. this is a satellite photo of an aerial view of a street",5,5,5
static/millionaid_P0725656.jpg,this is an aerial picture of the intersection of an intersection of two streets,5,5,5
static/millionaid_P0234735.jpg,"google satellite image of home, pool, and driveway in a residential area",5,5,5
static/millionaid_P0622837.jpg,a childs face is red and black on a dark surface,3,3,5
static/fmow_crop_field_3153_1_rgb.jpg,"the satellite's eye over Paine, Chile during Winter spotted crop_field at the center-left and center blocks. its representation with a ground sample distance of 1.96m provides impeccable detail. additionally, the snapshot is referenced under utm zone 19H, dated at 14 o'clock, January 30, 2016. the sky had a cloud cover of 0% and the equipment was scanning in the forward direction. primary orientation angles were target azimuth: 230.19? and off-nadir: 12.33?. a satellite view of an agricultural landscape",5,5,5
static/fmow_single-unit_residential_635_5_msrgb.jpg,"a Spring satellite image from Ouargla, Algeria has single-unit_residential visible at the center and top-left blocks. ensuring detail, the ground sample distance is 1.97m. the frame's metadata cites utm zone 31R, captured time 10 o'clock, May 16, 2017, cloud coverage of 0%, scan direction being reverse, and angles such as target azimuth at 162.11? and off-nadir of 24.51?. a satellite image of a small town with houses and buildings on it",5,5,5
static/fmow_helipad_607_8_msrgb.jpg,"from the vastness of space, peering down on Amagasaki, Japan in Fall, we see helipad at the center and top-center blocks. every detail is sharp with a ground sample distance of 1.55m. registered under utm zone 53S, it's dated on 1 o'clock, September 23, 2014. amidst 0% cloud coverage, the equipment scanned in the forward. angles captured include target azimuth: 13.37? and off-nadir: 28.45?. a google satellite image of an industrial area with train tracks",5,5,5
static/millionaid_P0910579.jpg,drone photo of a rock formation,5,5,5
static/millionaid_P0348070.jpg,a google earth image of a train tracks in a forest,5,5,5
static/fmow_recreational_facility_4544_6_rgb.jpg,"hovering above Tulalip, United States during Spring, our tools captured the image of recreational_facility settled at the center and center-left blocks. the details are refined with a ground sample distance set at 1.92m. spatially, it's associated with utm zone 10U, timestamped at 19 o'clock, March 30, 2016. with a cloud density of 0%, the scanning was done reverse. the image's orientation includes target azimuth of 306.41? and an off-nadir angle of 10.19?. an aerial view of a football field with the water surrounding it",5,5,5
static/fmow_construction_site_43_8_msrgb.jpg,"a Winter satellite image from Vladivostok, Russian Federation has construction_site visible at the center and top-left blocks. ensuring detail, the ground sample distance is 1.69m. the frame's metadata cites utm zone 52T, captured time 2 o'clock, December 26, 2015, cloud coverage of 0%, scan direction being reverse, and angles such as target azimuth at 268.57? and off-nadir of 11.07?. a satellite image shows snow and buildings in a residential area",5,5,5
static/millionaid_P0532423.jpg,the satellite image of the black pit in the middle of the woods,5,5,5
static/fmow_crop_field_4272_0_rgb.jpg,"a Spring satellite image from Waarland, Netherlands has crop_field visible at the center and center-right blocks. ensuring detail, the ground sample distance is 2.38m. the frame's metadata cites utm zone 31U, captured time 11 o'clock, May 28, 2013, cloud coverage of 1%, scan direction being forward, and angles such as target azimuth at 182.51? and off-nadir of 28.99?. a google satellite view of a large farm",5,5,5
static/millionaid_P0779501.jpg,a google satellite view shows several houses and a roundabout,5,5,5
static/fmow_tunnel_opening_410_2_rgb.jpg,"orbiting above Quzhou, China during Fall, the sensor detected tunnel_opening at the bottom-center and top-left blocks of the frame. ensuring granular detail, the image's ground sample distance stands at 2.09m. its geospatial tag corresponds to utm zone 50R and records the date as 3 o'clock, November 21, 2011. amidst 0% cloud cover, the scan was done forward. noteworthy angles are target azimuth: 32.27? and off-nadir: 20.58?. a satellite image of a town by a river",4,5,5
static/fmow_car_dealership_221_9_rgb.jpg,"overlooking Salt Lake City, United States during Winter, the satellite feed displayed car_dealership at the center and top-left blocks. its precision is highlighted with a ground sample distance of 1.27m. the geo-tag corresponds to utm zone 12T with a recording time of 18 o'clock, February 15, 2017. the atmosphere showed a 0% cloud presence and the equipment directed its scan forward. orientation angles for reference are target azimuth: 334.79? and off-nadir: 9.93?. a satellite view of a large parking lot with cars in the background",5,5,5
static/millionaid_P0466231.jpg,an aerial photo of a field that has been marked for traffic,5,5,5
static/millionaid_P0590563.jpg,a google satellite view of a large building on a tennis court,5,5,5
static/ben_259212.jpg,"this satellite image, taken during Summer, features the 'non-irrigated arable land' classification and is connected to utm zone 34N, dated 9 o'clock, July 19, 2017. closeup of the farmland in iran in 2012, taken from space",5,5,5
static/fmow_ground_transportation_station_756_5_msrgb.jpg,"a detailed glimpse of Ry?gasaki, Japan's Winter showcased ground_transportation_station at the center and top-left blocks, thanks to the satellite's lens. ensuring the details, the ground sample distance is marked at 2.36m. geospatial metadata includes utm zone 54S and capture time 1 o'clock, January 19, 2014. the day recorded a cloud cover of 0%, with the equipment set in the forward direction. significant angles that defined this frame were target azimuth: 249.12? and off-nadir: 28.63?. a satellite image of a small town in a city",5,5,5
static/ben_328587.jpg,"taken during the Fall, this satellite image categorized as 'broad-leaved forest, mixed forest' belongs to utm zone 34N and is marked 9 o'clock, September 14, 2017. a satellite image of a river that is dark",3,3,5
static/fmow_border_checkpoint_110_4_msrgb.jpg,"from a bird's-eye view, the Fall in Posadas, Argentina was captured, revealing border_checkpoint situated at the center and top-left blocks. with a detailed ground sample distance of 1.82m, every feature stands out. further geo-metadata consists of utm zone 21J, a timestamp of 14 o'clock, October 5, 2015, 3% cloud cover, a scan from the reverse direction, and significant angles such as target azimuth: 74.68? and off-nadir: 17.70?. satellite view of a large body of water with an airplane in the background",5,5,5
static/millionaid_P0686802.jpg,a satellite view of houses with green trees,5,5,5
static/ben_61980.jpg,"from the Summer season, this satellite image representing 'non-irrigated arable land, pastures, complex cultivation patterns' is linked to utm zone 34N and bears the date 9 o'clock, August 16, 2017. satellite view of farm with land and farmland",5,5,5
static/millionaid_P0641334.jpg,a satellite view of a rice field,4,4,5
static/millionaid_P0827712.jpg,a bird's eye view of a railroad track and tree,5,5,5
static/millionaid_P0908193.jpg,satellite view of the intersection,5,5,5
